node_index_in_matrix_0based,index,label,network_label,label_7network,index_17network,label_17network,network_label_17network,atlas_name,network_id
178,179,RH_Cont_Cing_2,Cont,7Networks_RH_Cont_Cing_2,170.0,17Networks_RH_ContA_Cingm_1,ContA,4S256,
179,180,RH_Cont_PFCmp_1,Cont,7Networks_RH_Cont_PFCmp_1,156.0,17Networks_RH_SalVentAttnB_PFCmp_1,SalVentAttnB,4S256,
180,181,RH_Cont_PFCmp_2,Cont,7Networks_RH_Cont_PFCmp_2,179.0,17Networks_RH_ContB_PFCmp_1,ContB,4S256,
181,182,RH_Default_Par_1,Default,7Networks_RH_Default_Par_1,194.0,17Networks_RH_DefaultC_IPL_1,DefaultC,4S256,
182,183,RH_Default_Par_2,Default,7Networks_RH_Default_Par_2,184.0,17Networks_RH_DefaultA_IPL_1,DefaultA,4S256,
183,184,RH_Default_Par_3,Default,7Networks_RH_Default_Par_3,173.0,17Networks_RH_ContB_IPL_1,ContB,4S256,
184,185,RH_Default_Temp_1,Default,7Networks_RH_Default_Temp_1,191.0,17Networks_RH_DefaultB_AntTemp_1,DefaultB,4S256,
185,186,RH_Default_Temp_2,Default,7Networks_RH_Default_Temp_2,171.0,17Networks_RH_ContB_Temp_1,ContB,4S256,
186,187,RH_Default_Temp_3,Default,7Networks_RH_Default_Temp_3,197.0,17Networks_RH_TempPar_1,TempPar,4S256,
187,188,RH_Default_Temp_4,Default,7Networks_RH_Default_Temp_4,190.0,17Networks_RH_DefaultB_Temp_1,DefaultB,4S256,
188,189,RH_Default_Temp_5,Default,7Networks_RH_Default_Temp_5,198.0,17Networks_RH_TempPar_2,TempPar,4S256,
189,190,RH_Default_PFCv_1,Default,7Networks_RH_Default_PFCv_1,193.0,17Networks_RH_DefaultB_PFCv_1,DefaultB,4S256,
190,191,RH_Default_PFCdPFCm_1,Default,7Networks_RH_Default_PFCdPFCm_1,159.0,17Networks_RH_LimbicB_OFC_3,LimbicB,4S256,
191,192,RH_Default_PFCdPFCm_2,Default,7Networks_RH_Default_PFCdPFCm_2,187.0,17Networks_RH_DefaultA_PFCm_1,DefaultA,4S256,
192,193,RH_Default_PFCdPFCm_3,Default,7Networks_RH_Default_PFCdPFCm_3,188.0,17Networks_RH_DefaultA_PFCm_2,DefaultA,4S256,
193,194,RH_Default_PFCdPFCm_4,Default,7Networks_RH_Default_PFCdPFCm_4,189.0,17Networks_RH_DefaultA_PFCm_3,DefaultA,4S256,
194,195,RH_Default_PFCdPFCm_5,Default,7Networks_RH_Default_PFCdPFCm_5,192.0,17Networks_RH_DefaultB_PFCd_1,DefaultB,4S256,
195,196,RH_Default_PFCdPFCm_6,Default,7Networks_RH_Default_PFCdPFCm_6,185.0,17Networks_RH_DefaultA_PFCd_1,DefaultA,4S256,
196,197,RH_Default_PFCdPFCm_7,Default,7Networks_RH_Default_PFCdPFCm_7,180.0,17Networks_RH_ContB_PFCld_3,ContB,4S256,
197,198,RH_Default_pCunPCC_1,Default,7Networks_RH_Default_pCunPCC_1,195.0,17Networks_RH_DefaultC_Rsp_1,DefaultC,4S256,
198,199,RH_Default_pCunPCC_2,Default,7Networks_RH_Default_pCunPCC_2,186.0,17Networks_RH_DefaultA_pCunPCC_1,DefaultA,4S256,
199,200,RH_Default_pCunPCC_3,Default,7Networks_RH_Default_pCunPCC_3,182.0,17Networks_RH_ContC_pCun_2,ContC,4S256,
200,201,LH-Pu,,,,,,CIT168Subcortical,
201,202,LH-Ca,,,,,,CIT168Subcortical,
202,203,LH-NAC,,,,,,CIT168Subcortical,
203,204,LH-EXA,,,,,,CIT168Subcortical,
204,205,LH-GPe,,,,,,CIT168Subcortical,
205,206,LH-GPi,,,,,,CIT168Subcortical,
206,207,LH-SNc_PBP_VTA,,,,,,CIT168Subcortical,
207,208,LH-RN,,,,,,CIT168Subcortical,
208,209,LH-SNr,,,,,,CIT168Subcortical,
209,210,LH-VeP,,,,,,CIT168Subcortical,
210,211,LH-HN,,,,,,CIT168Subcortical,
211,212,LH-HTH,,,,,,CIT168Subcortical,
212,213,LH-MN,,,,,,CIT168Subcortical,
213,214,LH-STH,,,,,,CIT168Subcortical,
214,215,RH-Pu,,,,,,CIT168Subcortical,
215,216,RH-Ca,,,,,,CIT168Subcortical,
216,217,RH-NAC,,,,,,CIT168Subcortical,
217,218,RH-EXA,,,,,,CIT168Subcortical,
218,219,RH-GPe,,,,,,CIT168Subcortical,
219,220,RH-GPi,,,,,,CIT168Subcortical,
220,221,RH-SNc_PBP_VTA,,,,,,CIT168Subcortical,
221,222,RH-RN,,,,,,CIT168Subcortical,
222,223,RH-SNr,,,,,,CIT168Subcortical,
223,224,RH-VeP,,,,,,CIT168Subcortical,
224,225,RH-HN,,,,,,CIT168Subcortical,
225,226,RH-HTH,,,,,,CIT168Subcortical,
226,227,RH-MN,,,,,,CIT168Subcortical,
227,228,RH-STH,,,,,,CIT168Subcortical,
228,229,LH-Pulvinar,,,,,,ThalamusHCP,
229,230,LH-Anterior,,,,,,ThalamusHCP,
230,231,LH-Medio_Dorsal,,,,,,ThalamusHCP,
231,232,LH-Ventral_Latero_Dorsal,,,,,,ThalamusHCP,
232,233,LH-Central_Lateral-Lateral_Posterior-Medial_Pulvinar,,,,,,ThalamusHCP,
233,234,LH-Ventral_Anterior,,,,,,ThalamusHCP,
234,235,LH-Ventral_Latero_Ventral,,,,,,ThalamusHCP,
235,236,RH-Pulvinar,,,,,,ThalamusHCP,
236,237,RH-Anterior,,,,,,ThalamusHCP,
237,238,RH-Medio_Dorsal,,,,,,ThalamusHCP,
238,239,RH-Ventral_Latero_Dorsal,,,,,,ThalamusHCP,
239,240,RH-Central_Lateral-Lateral_Posterior-Medial_Pulvinar,,,,,,ThalamusHCP,
240,241,RH-Ventral_Anterior,,,,,,ThalamusHCP,
241,242,RH-Ventral_Latero_Ventral,,,,,,ThalamusHCP,
242,243,LH_Hippocampus,,,,,,SubcorticalHCP,
243,244,LH_Amygdala,,,,,,SubcorticalHCP,
244,245,RH_Hippocampus,,,,,,SubcorticalHCP,
245,246,RH_Amygdala,,,,,,SubcorticalHCP,
246,247,Cerebellar_Region1,,,,,,Cerebellum,
247,248,Cerebellar_Region2,,,,,,Cerebellum,
248,249,Cerebellar_Region3,,,,,,Cerebellum,
249,250,Cerebellar_Region4,,,,,,Cerebellum,
250,251,Cerebellar_Region5,,,,,,Cerebellum,
251,252,Cerebellar_Region6,,,,,,Cerebellum,
252,253,Cerebellar_Region7,,,,,,Cerebellum,
253,254,Cerebellar_Region8,,,,,,Cerebellum,
254,255,Cerebellar_Region9,,,,,,Cerebellum,
255,256,Cerebellar_Region10,,,,,,Cerebellum,
